,,,,,,,,,
PLC MAGNETI,INPUT - OUTPUT,INDIRIZZO MODBUS,,PLC VUOTO,INPUT - OUTPUT,INDIRIZZO MODBUS,,MAC ANDRESS PLC VUOTO,
LEL-MAG-SOL01:COIL01 TS,I 0.00,HOLDING REGISTER  Registro 0 offset bit 0,,LEL-VAC-GAUCC01 - SET POINT RELAY No.1,I 0.00,HOLDING REGISTER  Registro 0 offset bit 0,,3CF7D135EBBD,
LEL-MAG-SOL01:COIL02 TS,I 0.01,HOLDING REGISTER  Registro 0 offset bit 1,,LEL-VAC-GAUTC02 - SET POINT RELAY No.2,I 0.01,HOLDING REGISTER  Registro 0 offset bit 1,,IP ANDRESS SCHEDA COM.PLC VUOTO,
LEL-MAG-HCOR01 TS,I 0.02,HOLDING REGISTER  Registro 0 offset bit 2,,LEL-VAC-GAUCC03 - SET POINT RELAY No.3,I 0.02,HOLDING REGISTER  Registro 0 offset bit 2,,10.16.4.171,
LEL-MAG-VCOR01 TS,I 0.03,HOLDING REGISTER  Registro 0 offset bit 3,,LEL-VAC-GAUCC04 - SET POINT RELAY No.4,I 0.03,HOLDING REGISTER  Registro 0 offset bit 3,,Porta,
M1_SCU_6,I 0.04,HOLDING REGISTER  Registro 0 offset bit 4,,LEL-VAC-GAUTC05 - SET POINT RELAY No.5,I 0.04,HOLDING REGISTER  Registro 0 offset bit 4,,502,
M1_SCU_7,I 0.05,HOLDING REGISTER  Registro 0 offset bit 5,,LEL-VAC-GAUCC06 - SET POINT RELAY No.6,I 0.05,HOLDING REGISTER  Registro 0 offset bit 5,,Scambio Byte,
LEL-MAG-HCOR06-TS,I 0.06,HOLDING REGISTER  Registro 0 offset bit 6,,LEL-VAC-GAUTC07 - SET POINT RELAY No.7,I 0.06,HOLDING REGISTER  Registro 0 offset bit 6,,True,
LEL-MAG-VCOR06-TS,I 0.07,HOLDING REGISTER  Registro 0 offset bit 7,,LEL-VAC.VGCON1-SETR - SET POINT RELAY No.8,I 0.07,HOLDING REGISTER  Registro 0 offset bit 7,,,
LEL-MAG-QUAD01-TS,I 0.08,HOLDING REGISTER  Registro 0 offset bit 8,,LEL-VAC-GAUCC08 - SET POINT RELAY No.1,I 0.08,HOLDING REGISTER  Registro 0 offset bit 8,,,
LEL-MAG-QUAD02-TS,I 0.09,HOLDING REGISTER  Registro 0 offset bit 9,,LEL-VAC-GAUCC09- SET POINT RELAY No.2,I 0.09,HOLDING REGISTER  Registro 0 offset bit 9,,MAC ANDRESS PLC MAGNETI,
LEL-MAG-QUAD03-TS,I 0.10,HOLDING REGISTER  Registro 0 offset bit 10,,LEL-VAC.VGCON2 -SETR - SET POINT RELAY No.3,I 0.10,HOLDING REGISTER  Registro 0 offset bit 10,,3CF7D135EA29,
LEL-MAG-HCOR07-TS,I 0.11,HOLDING REGISTER  Registro 0 offset bit 11,,LEL-VAC.VGCON2-SETR - SET POINT RELAY No.4,I 0.11,HOLDING REGISTER  Registro 0 offset bit 11,,IP ANDRESS SCHEDA COM.PLC MAGNETI,
LEL-MAG-VCOR07-TS,I 0.12,HOLDING REGISTER  Registro 0 offset bit 12,,LEL-VAC.VGCON2-SETR - SET POINT RELAY No.5,I 0.12,HOLDING REGISTER  Registro 0 offset bit 12,,10.16.4.170,
LEL-MAG-DIP01-TS,I 0.13,HOLDING REGISTER  Registro 0 offset bit 13,,LEL-VAC.VGCON2-SETR - SET POINT RELAY No.6,I 0.13,HOLDING REGISTER  Registro 0 offset bit 13,,Porta,
M4_SCU_1,I 0.14,HOLDING REGISTER  Registro 0 offset bit 14,,LEL-VAC.VGCON2-SETR - SET POINT RELAY No.7,I 0.14,HOLDING REGISTER  Registro 0 offset bit 14,,502,
M4A_SCU_8,I 0.15,HOLDING REGISTER  Registro 0 offset bit 15,,LEL-VAC.VGCON2-SETR - SET POINT RELAY No.8,I 0.15,HOLDING REGISTER  Registro 0 offset bit 15,,Scambio Byte,
LEL-MAG-HCOR02-TS,I 1.00,HOLDING REGISTER  Registro 1 offset bit 0,,LEL-VAC-VALVP01 - AIR PRESSURE,I 1.00,HOLDING REGISTER  Registro 1 offset bit 0,,True,
LEL-MAG-VCOR02-TS,I 1.01,HOLDING REGISTER  Registro 1 offset bit 1,,LEL-VAC-VALVP01 - CONTINUITY,I 1.01,HOLDING REGISTER  Registro 1 offset bit 1,,,
---SPARE---,I 1.02,HOLDING REGISTER  Registro 1 offset bit 2,,LEL-VAC-VALVP01 - CLOSED,I 1.02,HOLDING REGISTER  Registro 1 offset bit 2,,,
---SPARE---,I 1.03,HOLDING REGISTER  Registro 1 offset bit 3,,LEL-VAC-VALVP01 - OPEN,I 1.03,HOLDING REGISTER  Registro 1 offset bit 3,,,
---SPARE---,I 1.04,HOLDING REGISTER  Registro 1 offset bit 4,,LEL-VAC-VALVF02 - OPEN,I 1.04,HOLDING REGISTER  Registro 1 offset bit 4,,,
---SPARE---,I 1.05,HOLDING REGISTER  Registro 1 offset bit 5,,LEL-VAC-VALVF02 - CLOSED,I 1.05,HOLDING REGISTER  Registro 1 offset bit 5,,,
LEL-MAG-HCOR03-TS,I 1.06,HOLDING REGISTER  Registro 1 offset bit 6,,LEL-VAC-VALVF02 - ARMED,I 1.06,HOLDING REGISTER  Registro 1 offset bit 6,,,
LEL-MAG-VCOR03-TS,I 1.07,HOLDING REGISTER  Registro 1 offset bit 7,,LEL-VAC-VALVF02 - GAUGES-OK,I 1.07,HOLDING REGISTER  Registro 1 offset bit 7,,,
